key,speed_avg,speed_ref_sd,tt_sd_adj,speed_hist_avg,speed_sd,road_closures,tt_avg,median_inc,bus_stops,intersections,speed_cv,incidents,tt_cv,tt_sd,median_age,speed_hist_sd,tt_var,speed_ref_avg,tf
"(22, 76, '0')",64.700,0.000,0,61.186,3.391,0.000,0.225,27.250,0,0,0.052,3,0.057,0.013,25.900,3.539,0.000,62.137,0.238
"(23, 57, '0')",29.069,0.000,0,28.454,6.051,0.000,0.216,66.653,0,4,0.208,0,0.203,0.044,34.400,6.113,0.002,27.962,0.240
"(23, 7, '0')",20.149,0.000,0,29.211,8.305,0.000,0.065,66.653,0,2,0.412,0,0.394,0.025,34.400,9.227,0.001,27.962,0.169
"(1554, 1729, '0')",99999.000,0.000,0,99999.000,0.000,0.000,0.000,17.434,0,0,0.000,0,0.000,0.000,24.500,0.000,0.000,99999.000,0.000
"(545, 557, '0')",16.732,0.000,0,18.149,5.722,0.000,0.842,30.907,0,1,0.342,6,0.463,0.390,26.700,4.702,0.152,19.263,0.159
"(41, 548, '0')",68.111,0.000,0,62.409,2.951,0.000,0.359,36.974,0,1,0.043,7,0.050,0.018,29.000,1.867,0.000,65.244,0.175
"(373, 668, '0')",23.994,0.000,0,22.059,9.949,0.000,0.111,20.750,0,1,0.415,0,0.409,0.046,29.300,11.057,0.002,29.204,0.073
"(30, 668, '0')",23.994,0.000,0,22.059,9.949,0.000,0.111,20.750,0,1,0.415,0,0.409,0.046,29.300,11.057,0.002,29.204,0.236
"(672, 551, '0')",25.826,0.000,0,25.936,10.781,0.000,0.551,30.907,0,1,0.417,3,0.660,0.363,26.700,10.973,0.132,34.175,0.310
"(527, 524, '0')",64.551,0.000,0,59.542,14.383,0.000,0.296,30.907,0,2,0.223,7,0.470,0.139,26.700,9.084,0.019,65.865,0.215
"(25, 27, '0')",19.101,0.000,0,20.330,6.657,0.000,0.580,17.434,0,3,0.349,0,0.418,0.242,24.500,3.897,0.059,19.884,0.128
"(446, 27, '0')",19.101,0.000,0,20.330,6.657,0.000,0.580,24.432,0,3,0.349,0,0.418,0.242,39.300,3.897,0.059,19.884,0.071
"(670, 27, '0')",18.926,0.000,0,17.295,6.593,0.000,0.568,24.432,0,3,0.348,0,0.363,0.206,39.300,3.799,0.042,21.127,0.192
"(26, 37, '0')",21.405,0.000,0,21.263,5.103,0.000,0.745,45.663,1,3,0.238,0,0.292,0.217,29.600,4.238,0.047,21.748,0.160
"(225, 37, '0')",20.661,0.000,0,20.208,4.364,0.000,0.774,15.738,1,3,0.211,0,0.276,0.214,46.800,3.627,0.046,21.748,0.111
"(503, 37, '0')",38.182,0.000,0,47.082,14.100,0.000,0.320,41.694,0,1,0.369,3,0.519,0.166,33.600,8.047,0.028,52.195,0.112
"(514, 517, '0')",50.000,0.000,0,50.000,0.000,0.000,0.188,30.907,0,0,0.000,0,0.000,0.000,26.700,0.000,0.000,50.000,0.188
"(27, 447, '0')",18.926,0.000,0,17.295,6.593,0.000,0.568,39.750,0,3,0.348,0,0.363,0.206,29.900,3.799,0.042,21.127,0.250
"(27, 670, '0')",19.101,0.000,0,20.330,6.657,0.000,0.580,24.432,0,3,0.349,0,0.418,0.242,39.300,3.897,0.059,19.884,0.192
"(29, 670, '0')",18.926,0.000,0,17.295,6.593,0.000,0.568,24.432,0,3,0.348,0,0.363,0.206,39.300,3.799,0.042,21.127,0.223
"(27, 452, '0')",18.926,0.000,0,17.295,6.593,0.000,0.568,17.434,0,3,0.348,0,0.363,0.206,24.500,3.799,0.042,21.127,0.264
"(534, 537, '0')",37.839,0.000,0,39.412,9.500,0.000,0.462,45.536,0,1,0.251,5,0.361,0.167,33.100,12.213,0.028,42.253,0.170
"(513, 510, '0')",46.939,0.000,0,47.768,6.563,0.000,0.103,45.536,0,0,0.140,9,0.169,0.017,33.100,4.668,0.000,49.710,0.377
"(11, 1048, '0')",28.136,0.000,0,25.897,5.841,0.000,1.103,16.994,0,7,0.208,0,0.230,0.254,45.200,3.464,0.064,28.583,0.000
"(451, 1048, '0')",30.745,0.000,0,27.230,3.332,0.000,0.978,23.867,0,7,0.108,1,0.120,0.117,21.300,2.076,0.014,29.204,0.486
"(29, 1041, '0')",24.874,0.000,0,21.690,5.503,0.000,1.268,16.994,2,10,0.221,0,0.266,0.338,45.200,2.569,0.114,24.855,0.617
"(29, 1045, '0')",26.389,0.000,0,25.884,4.237,0.000,1.172,23.867,3,10,0.161,0,0.195,0.228,21.300,2.513,0.052,27.962,0.521
"(29, 451, '0')",30.745,0.000,0,27.230,3.332,0.000,0.978,23.867,0,7,0.108,1,0.120,0.117,21.300,2.076,0.014,29.204,0.186
"(1048, 451, '0')",28.136,0.000,0,25.897,5.841,0.000,1.103,23.867,0,7,0.208,0,0.230,0.254,21.300,3.464,0.064,28.583,0.486
"(529, 532, '0')",35.000,0.000,0,35.000,0.000,0.000,0.369,30.907,0,0,0.000,0,0.000,0.000,26.700,0.000,0.000,35.000,0.369
"(519, 522, '0')",40.000,0.000,0,40.000,0.000,0.000,0.030,45.536,0,0,0.000,0,0.000,0.000,33.100,0.000,0.000,40.000,0.030
"(498, 501, '0')",64.720,0.000,0,61.943,7.883,0.000,0.348,41.694,0,1,0.122,10,0.156,0.054,33.600,3.597,0.003,65.244,0.122
"(348, 350, '0')",46.247,0.000,0,45.392,7.831,0.000,0.325,20.750,0,2,0.169,0,0.188,0.061,29.300,5.640,0.004,47.846,0.168
"(110, 131, '0')",24.835,0.000,0,24.544,7.580,0.000,0.281,24.821,0,4,0.305,0,0.362,0.102,46.000,6.072,0.010,29.204,0.172
"(287, 131, '0')",30.784,0.000,0,36.823,7.858,0.000,0.324,24.821,0,2,0.255,2,0.397,0.129,46.000,6.913,0.017,37.282,0.131
"(110, 106, '0')",23.890,0.000,0,26.971,9.966,0.000,0.592,24.821,0,3,0.417,0,0.367,0.217,46.000,5.752,0.047,32.933,0.130
"(32, 106, '0')",30.784,0.000,0,36.823,7.858,0.000,0.324,24.821,0,2,0.255,2,0.397,0.129,46.000,6.913,0.017,37.282,0.435
"(107, 106, '0')",24.835,0.000,0,24.544,7.580,0.000,0.281,24.821,0,4,0.305,0,0.362,0.102,46.000,6.072,0.010,29.204,0.126
"(471, 473, '0')",35.036,0.000,0,35.755,7.909,0.000,0.597,42.628,0,0,0.226,0,0.274,0.164,25.600,6.780,0.027,39.146,0.234
"(33, 840, '0')",22.997,0.000,0,28.382,7.707,0.000,0.377,30.907,0,2,0.335,1,0.401,0.151,26.700,3.952,0.023,24.233,0.167
"(839, 840, '0')",18.253,0.000,0,19.023,6.080,0.000,0.391,30.907,0,3,0.333,1,0.424,0.166,26.700,4.610,0.027,19.263,0.073
"(853, 840, '0')",19.411,0.000,0,28.382,8.286,0.000,0.383,36.974,0,3,0.427,1,0.406,0.156,29.000,3.952,0.024,24.233,0.131
"(854, 840, '0')",18.253,0.000,0,19.023,6.080,0.000,0.391,30.907,0,3,0.333,1,0.424,0.166,26.700,4.610,0.027,19.263,0.068
"(33, 209, '0')",17.224,0.000,0,19.023,6.630,0.000,0.528,30.907,0,2,0.385,2,0.487,0.257,26.700,4.610,0.066,19.263,0.151
"(222, 209, '0')",17.845,0.000,0,28.382,8.700,0.000,0.398,36.974,0,4,0.488,0,0.442,0.176,29.000,3.952,0.031,24.233,0.146
"(542, 209, '0')",64.739,0.000,0,58.409,12.791,0.000,0.388,36.974,0,1,0.198,2,0.469,0.182,29.000,8.390,0.033,65.244,0.267
