key,tt_sd,speed_ref_avg,speed_avg,speed_sd,tt_var,tt_cv,incidents,bus_stops,median_inc,median_age,intersections,tt_avg,speed_ref_sd,tt_sd_adj,speed_hist_sd,speed_hist_avg,road_closures,speed_cv,tf
"(447, 444, '0')",0.112,21.748,23.450,5.061,0.012,0.211,0,0,39.750,29.900,5,0.530,0.000,0,5.329,20.609,0.000,0.216,0.251
"(448, 444, '0')",0.131,24.233,23.256,5.114,0.017,0.236,0,0,39.750,29.900,5,0.554,0.000,0,5.749,21.929,0.000,0.220,0.162
"(40, 36, '0')",0.069,22.991,23.865,4.930,0.005,0.200,0,2,45.663,29.600,2,0.347,0.000,0,3.999,21.217,0.000,0.207,0.155
"(497, 36, '0')",0.039,42.875,40.473,8.540,0.001,0.281,1,0,45.663,29.600,0,0.138,0.000,0,8.667,40.396,0.000,0.211,0.468
"(97, 36, '0')",0.060,22.991,22.557,4.420,0.004,0.188,0,0,45.663,29.600,4,0.320,0.000,0,3.273,20.816,0.000,0.196,0.169
"(40, 495, '0')",0.069,22.991,22.557,4.420,0.005,0.188,0,2,41.694,33.600,2,0.364,0.000,0,3.273,20.816,0.000,0.196,0.161
"(224, 495, '0')",0.132,22.991,23.865,4.930,0.018,0.202,0,2,41.694,33.600,3,0.656,0.000,0,3.999,21.217,0.000,0.207,0.175
"(909, 495, '0')",0.042,27.962,28.175,4.265,0.002,0.151,0,1,41.694,33.600,4,0.275,0.000,0,3.128,26.861,0.000,0.151,0.114
"(939, 495, '0')",0.040,27.962,28.784,4.059,0.002,0.147,0,1,41.694,33.600,4,0.270,0.000,0,4.138,27.049,0.000,0.141,0.111
"(657, 652, '0')",0.033,57.788,60.202,3.915,0.001,0.067,0,1,30.543,28.900,2,0.486,0.000,0,1.071,57.626,0.000,0.065,0.497
"(392, 393, '0')",0.062,31.690,31.677,6.250,0.004,0.214,0,0,20.893,29.500,2,0.291,0.000,0,6.226,29.716,0.000,0.197,0.346
"(21, 187, '0')",0.023,65.244,67.128,2.269,0.001,0.035,0,0,32.869,24.300,1,0.674,0.000,0,1.868,63.153,0.000,0.034,0.000
"(624, 621, '0')",0.020,60.273,64.396,2.070,0.000,0.033,2,0,30.543,28.900,6,0.628,0.000,0,0.409,60.357,0.000,0.032,0.487
"(288, 133, '0')",0.020,60.273,64.396,2.070,0.000,0.033,2,0,30.543,28.900,6,0.628,0.000,0,0.409,60.357,0.000,0.032,0.546
"(43, 179, '0')",0.014,64.001,64.707,3.767,0.000,0.077,0,0,21.600,26.000,0,0.177,0.000,0,1.988,62.979,0.000,0.058,0.355
"(320, 179, '0')",0.030,64.001,64.001,3.208,0.001,0.054,0,0,21.600,26.000,0,0.566,0.000,0,2.337,62.318,0.000,0.050,0.217
"(649, 654, '0')",0.040,62.137,63.697,4.117,0.002,0.070,2,0,30.543,28.900,5,0.568,0.000,0,3.714,60.137,0.000,0.065,0.535
"(44, 177, '0')",0.013,62.758,62.636,4.819,0.000,0.093,2,0,23.075,28.300,1,0.136,0.000,0,5.218,62.615,0.000,0.077,0.116
"(654, 603, '0')",0.037,57.788,59.050,4.323,0.001,0.077,3,0,30.543,28.900,4,0.481,0.000,0,1.452,57.542,0.000,0.073,0.233
"(601, 603, '0')",0.037,57.788,59.050,4.323,0.001,0.077,3,0,30.543,28.900,4,0.481,0.000,0,1.452,57.542,0.000,0.073,0.138
"(45, 214, '0')",0.019,65.244,67.082,2.274,0.000,0.035,1,0,36.974,29.000,1,0.528,0.000,0,3.114,63.865,0.000,0.034,0.234
"(295, 299, '0')",0.193,27.962,28.124,4.819,0.037,0.177,1,2,14.243,24.900,14,1.091,0.000,0,4.995,27.308,0.000,0.171,0.471
"(47, 150, '0')",0.027,65.244,65.742,2.187,0.001,0.036,0,1,39.191,28.700,3,0.757,0.000,0,2.670,63.451,0.000,0.033,0.351
"(312, 320, '0')",0.159,27.962,28.674,4.175,0.025,0.149,1,2,24.432,39.300,14,1.061,0.000,0,4.245,27.295,0.000,0.146,0.951
"(324, 307, '0')",0.000,60.000,60.000,0.000,0.000,0.000,0,0,14.243,24.900,0,0.802,0.000,0,0.000,60.000,0.000,0.000,0.802
"(49, 146, '0')",0.029,65.244,65.367,2.659,0.001,0.044,0,0,39.191,28.700,2,0.668,0.000,0,3.734,64.047,0.000,0.041,0.294
"(326, 328, '0')",0.022,60.273,61.114,2.727,0.000,0.048,2,0,14.243,24.900,1,0.449,0.000,0,2.109,59.619,0.000,0.045,0.610
"(208, 68, '0')",0.015,55.923,56.914,3.363,0.000,0.058,0,0,14.243,24.900,1,0.262,0.000,0,4.706,56.862,0.000,0.059,0.569
"(1, 68, '0')",0.000,50.000,50.000,0.000,0.000,0.000,0,0,14.243,24.900,0,0.736,0.000,0,0.000,50.000,0.000,0.000,0.736
"(50, 219, '0')",0.027,65.244,65.742,2.187,0.001,0.036,0,1,39.191,28.700,3,0.757,0.000,0,2.670,63.451,0.000,0.033,0.235
"(68, 303, '0')",0.014,60.273,61.742,3.688,0.000,0.096,0,0,14.243,24.900,3,0.141,0.000,0,4.765,59.503,0.000,0.060,0.134
