attr,theta,width_confint,width_CI,t-test,pvalue,rep,level,objective,nrmse,theta_true,bias,fn,fp,f_type
k0,-0.340,"[-1.016, 0.336]",0.676,-1.003,0.319,2,1.100,149856490.200,0.139,0.000,-0.340,0,0,fp
k1,-0.026,"[-0.457, 0.405]",0.431,-0.121,0.904,2,1.100,149856490.200,0.139,0.000,-0.026,0,0,fp
k2,-0.188,"[-0.671, 0.294]",0.483,-0.779,0.439,2,1.100,149856490.200,0.139,0.000,-0.188,0,0,fp
k3,-0.209,"[-0.702, 0.284]",0.493,-0.845,0.401,2,1.100,149856490.200,0.139,0.000,-0.209,0,0,fp
k4,0.149,"[-0.253, 0.552]",0.403,0.741,0.462,2,1.100,149856490.200,0.139,0.000,0.149,0,0,fp
k5,-0.268,"[-0.922, 0.386]",0.654,-0.819,0.416,2,1.100,149856490.200,0.139,0.000,-0.268,0,0,fp
vot,0.170,,,,,2,1.100,149856490.200,0.139,0.167,0.003,0,0,fn
tt,-1.712,"[-3.598, 0.174]",1.886,-1.812,0.075,2,1.200,354789360.950,0.232,-1.000,-0.712,0,0,fn
c,-8.354,"[-16.829, 0.121]",8.475,-1.967,0.053,2,1.200,354789360.950,0.232,-6.000,-2.354,0,0,fn
s,-3.865,"[-7.804, 0.073]",3.939,-1.959,0.054,2,1.200,354789360.950,0.232,-3.000,-0.865,0,0,fn
k0,-0.691,"[-2.386, 1.005]",1.695,-0.813,0.419,2,1.200,354789360.950,0.232,0.000,-0.691,0,0,fp
k1,0.107,"[-0.768, 0.982]",0.875,0.244,0.808,2,1.200,354789360.950,0.232,0.000,0.107,0,0,fp
k2,-0.543,"[-1.849, 0.763]",1.306,-0.830,0.409,2,1.200,354789360.950,0.232,0.000,-0.543,0,0,fp
k3,0.138,"[-0.921, 1.197]",1.059,0.261,0.795,2,1.200,354789360.950,0.232,0.000,0.138,0,0,fp
k4,0.056,"[-0.843, 0.956]",0.899,0.125,0.901,2,1.200,354789360.950,0.232,0.000,0.056,0,0,fp
k5,-0.748,"[-2.497, 1.0]",1.749,-0.854,0.396,2,1.200,354789360.950,0.232,0.000,-0.748,0,0,fp
vot,0.205,,,,,2,1.200,354789360.950,0.232,0.167,0.038,0,0,fn
tt,-1.351,"[-3.043, 0.341]",1.692,-1.593,0.116,3,0.800,1051006247.500,0.268,-1.000,-0.351,1,0,fn
c,-6.634,"[-16.66, 3.393]",10.026,-1.321,0.191,3,0.800,1051006247.500,0.268,-6.000,-0.634,1,0,fn
s,-3.426,"[-8.101, 1.25]",4.675,-1.463,0.148,3,0.800,1051006247.500,0.268,-3.000,-0.426,1,0,fn
k0,-1.028,"[-4.589, 2.532]",3.561,-0.576,0.566,3,0.800,1051006247.500,0.268,0.000,-1.028,0,0,fp
k1,1.374,"[-1.813, 4.562]",3.187,0.861,0.392,3,0.800,1051006247.500,0.268,0.000,1.374,0,0,fp
k2,-1.053,"[-3.866, 1.76]",2.813,-0.747,0.458,3,0.800,1051006247.500,0.268,0.000,-1.053,0,0,fp
k3,-0.144,"[-2.204, 1.916]",2.060,-0.140,0.889,3,0.800,1051006247.500,0.268,0.000,-0.144,0,0,fp
k4,-1.708,"[-4.359, 0.943]",2.651,-1.286,0.203,3,0.800,1051006247.500,0.268,0.000,-1.708,0,0,fp
k5,-1.296,"[-4.627, 2.036]",3.331,-0.776,0.440,3,0.800,1051006247.500,0.268,0.000,-1.296,0,0,fp
vot,0.204,,,,,3,0.800,1051006247.500,0.268,0.167,0.037,0,0,fn
tt,-0.581,"[-0.834, -0.329]",0.253,-4.594,0.000,3,0.900,216073581.396,0.137,-1.000,0.419,0,0,fn
c,-3.664,"[-5.395, -1.933]",1.731,-4.225,0.000,3,0.900,216073581.396,0.137,-6.000,2.336,0,0,fn
s,-1.948,"[-2.784, -1.112]",0.836,-4.650,0.000,3,0.900,216073581.396,0.137,-3.000,1.052,0,0,fn
k0,0.194,"[-0.344, 0.731]",0.537,0.720,0.474,3,0.900,216073581.396,0.137,0.000,0.194,0,0,fp
k1,-0.083,"[-0.481, 0.316]",0.398,-0.414,0.680,3,0.900,216073581.396,0.137,0.000,-0.083,0,0,fp
k2,0.612,"[0.061, 1.164]",0.552,2.215,0.030,3,0.900,216073581.396,0.137,0.000,0.612,0,1,fp
k3,-0.102,"[-0.565, 0.362]",0.464,-0.437,0.664,3,0.900,216073581.396,0.137,0.000,-0.102,0,0,fp
k4,-0.000,"[-0.469, 0.469]",0.469,-0.000,1.000,3,0.900,216073581.396,0.137,0.000,-0.000,0,0,fp
k5,0.127,"[-0.265, 0.52]",0.392,0.648,0.519,3,0.900,216073581.396,0.137,0.000,0.127,0,0,fp
vot,0.159,,,,,3,0.900,216073581.396,0.137,0.167,-0.008,0,0,fn
tt,-1.214,"[-1.797, -0.63]",0.584,-4.149,0.000,3,1.100,150739345.106,0.140,-1.000,-0.214,0,0,fn
c,-6.705,"[-10.106, -3.304]",3.401,-3.935,0.000,3,1.100,150739345.106,0.140,-6.000,-0.705,0,0,fn
s,-3.265,"[-4.82, -1.71]",1.555,-4.191,0.000,3,1.100,150739345.106,0.140,-3.000,-0.265,0,0,fn
k0,0.122,"[-0.712, 0.956]",0.834,0.292,0.771,3,1.100,150739345.106,0.140,0.000,0.122,0,0,fp
k1,-0.224,"[-0.829, 0.38]",0.604,-0.740,0.462,3,1.100,150739345.106,0.140,0.000,-0.224,0,0,fp
k2,0.025,"[-0.698, 0.748]",0.723,0.068,0.946,3,1.100,150739345.106,0.140,0.000,0.025,0,0,fp
k3,0.363,"[-0.377, 1.103]",0.740,0.980,0.331,3,1.100,150739345.106,0.140,0.000,0.363,0,0,fp
k4,0.194,"[-0.636, 1.025]",0.831,0.467,0.642,3,1.100,150739345.106,0.140,0.000,0.194,0,0,fp
k5,-0.189,"[-0.797, 0.419]",0.608,-0.620,0.537,3,1.100,150739345.106,0.140,0.000,-0.189,0,0,fp
vot,0.181,,,,,3,1.100,150739345.106,0.140,0.167,0.014,0,0,fn
tt,-1.339,"[-2.135, -0.543]",0.796,-3.359,0.001,3,1.200,360769042.586,0.239,-1.000,-0.339,0,0,fn
c,-6.198,"[-10.42, -1.976]",4.222,-2.930,0.005,3,1.200,360769042.586,0.239,-6.000,-0.198,0,0,fn
s,-3.070,"[-4.983, -1.158]",1.913,-3.204,0.002,3,1.200,360769042.586,0.239,-3.000,-0.070,0,0,fn
k0,-0.786,"[-2.152, 0.58]",1.366,-1.149,0.255,3,1.200,360769042.586,0.239,0.000,-0.786,0,0,fp
k1,0.159,"[-0.898, 1.216]",1.057,0.300,0.765,3,1.200,360769042.586,0.239,0.000,0.159,0,0,fp
k2,-0.149,"[-1.272, 0.973]",1.122,-0.265,0.791,3,1.200,360769042.586,0.239,0.000,-0.149,0,0,fp
k3,0.104,"[-1.072, 1.281]",1.176,0.177,0.860,3,1.200,360769042.586,0.239,0.000,0.104,0,0,fp
k4,-0.074,"[-1.419, 1.272]",1.345,-0.110,0.913,3,1.200,360769042.586,0.239,0.000,-0.074,0,0,fp
k5,-0.731,"[-1.802, 0.34]",1.071,-1.362,0.178,3,1.200,360769042.586,0.239,0.000,-0.731,0,0,fp
vot,0.216,,,,,3,1.200,360769042.586,0.239,0.167,0.049,0,0,fn
tt,-0.166,"[-0.217, -0.115]",0.051,-6.495,0.000,4,0.800,542684042.497,0.189,-1.000,0.834,0,0,fn
c,-0.956,"[-1.381, -0.532]",0.424,-4.498,0.000,4,0.800,542684042.497,0.189,-6.000,5.044,0,0,fn
s,-0.621,"[-0.843, -0.399]",0.222,-5.586,0.000,4,0.800,542684042.497,0.189,-3.000,2.379,0,0,fn
k0,-0.205,"[-0.593, 0.183]",0.388,-1.053,0.296,4,0.800,542684042.497,0.189,0.000,-0.205,0,0,fp
k1,-0.043,"[-0.366, 0.28]",0.323,-0.264,0.793,4,0.800,542684042.497,0.189,0.000,-0.043,0,0,fp
k2,0.119,"[-0.168, 0.406]",0.287,0.826,0.412,4,0.800,542684042.497,0.189,0.000,0.119,0,0,fp
k3,0.261,"[-0.138, 0.66]",0.399,1.305,0.196,4,0.800,542684042.497,0.189,0.000,0.261,0,0,fp
k4,0.239,"[-0.075, 0.552]",0.313,1.521,0.133,4,0.800,542684042.497,0.189,0.000,0.239,0,0,fp
k5,0.444,"[0.078, 0.811]",0.366,2.420,0.018,4,0.800,542684042.497,0.189,0.000,0.444,0,1,fp
vot,0.173,,,,,4,0.800,542684042.497,0.189,0.167,0.007,0,0,fn
tt,-0.671,"[-1.039, -0.303]",0.368,-3.643,0.001,4,0.900,261566614.074,0.148,-1.000,0.329,0,0,fn
c,-4.357,"[-6.958, -1.757]",2.601,-3.344,0.001,4,0.900,261566614.074,0.148,-6.000,1.643,0,0,fn
s,-2.567,"[-3.916, -1.217]",1.350,-3.796,0.000,4,0.900,261566614.074,0.148,-3.000,0.433,0,0,fn
k0,-0.361,"[-1.124, 0.402]",0.763,-0.944,0.349,4,0.900,261566614.074,0.148,0.000,-0.361,0,0,fp
k1,-0.172,"[-0.923, 0.579]",0.751,-0.457,0.649,4,0.900,261566614.074,0.148,0.000,-0.172,0,0,fp
k2,0.043,"[-0.54, 0.625]",0.582,0.146,0.884,4,0.900,261566614.074,0.148,0.000,0.043,0,0,fp
k3,0.238,"[-0.541, 1.017]",0.779,0.610,0.544,4,0.900,261566614.074,0.148,0.000,0.238,0,0,fp
k4,0.124,"[-0.761, 1.01]",0.885,0.280,0.780,4,0.900,261566614.074,0.148,0.000,0.124,0,0,fp
k5,0.823,"[0.056, 1.589]",0.767,2.142,0.036,4,0.900,261566614.074,0.148,0.000,0.823,0,1,fp
vot,0.154,,,,,4,0.900,261566614.074,0.148,0.167,-0.013,0,0,fn
tt,-1.366,"[-2.121, -0.61]",0.756,-3.608,0.001,4,1.100,216063184.489,0.169,-1.000,-0.366,0,0,fn
c,-7.613,"[-12.164, -3.063]",4.551,-3.339,0.001,4,1.100,216063184.489,0.169,-6.000,-1.613,0,0,fn
s,-3.811,"[-6.026, -1.596]",2.215,-3.434,0.001,4,1.100,216063184.489,0.169,-3.000,-0.811,0,0,fn
k0,0.964,"[-0.056, 1.983]",1.020,1.887,0.063,4,1.100,216063184.489,0.169,0.000,0.964,0,1,fp
k1,-0.362,"[-1.56, 0.835]",1.197,-0.604,0.548,4,1.100,216063184.489,0.169,0.000,-0.362,0,0,fp
k2,-0.184,"[-1.057, 0.69]",0.874,-0.420,0.676,4,1.100,216063184.489,0.169,0.000,-0.184,0,0,fp
k3,-0.375,"[-1.474, 0.724]",1.099,-0.681,0.498,4,1.100,216063184.489,0.169,0.000,-0.375,0,0,fp
k4,-0.128,"[-1.282, 1.026]",1.154,-0.221,0.826,4,1.100,216063184.489,0.169,0.000,-0.128,0,0,fp
k5,-0.900,"[-2.405, 0.606]",1.506,-1.192,0.237,4,1.100,216063184.489,0.169,0.000,-0.900,0,0,fp
vot,0.179,,,,,4,1.100,216063184.489,0.169,0.167,0.013,0,0,fn
tt,-1.398,"[-2.336, -0.461]",0.937,-2.978,0.004,4,1.200,304874544.039,0.212,-1.000,-0.398,0,0,fn
c,-6.843,"[-11.641, -2.046]",4.797,-2.847,0.006,4,1.200,304874544.039,0.212,-6.000,-0.843,0,0,fn
s,-3.240,"[-5.442, -1.038]",2.202,-2.937,0.005,4,1.200,304874544.039,0.212,-3.000,-0.240,0,0,fn
k0,0.328,"[-0.749, 1.405]",1.077,0.608,0.545,4,1.200,304874544.039,0.212,0.000,0.328,0,0,fp
k1,0.109,"[-1.201, 1.419]",1.310,0.166,0.868,4,1.200,304874544.039,0.212,0.000,0.109,0,0,fp
k2,-0.193,"[-1.16, 0.775]",0.967,-0.398,0.692,4,1.200,304874544.039,0.212,0.000,-0.193,0,0,fp
k3,-0.889,"[-2.135, 0.356]",1.245,-1.425,0.159,4,1.200,304874544.039,0.212,0.000,-0.889,0,0,fp
k4,-0.317,"[-1.729, 1.094]",1.411,-0.449,0.655,4,1.200,304874544.039,0.212,0.000,-0.317,0,0,fp
k5,-0.076,"[-1.495, 1.342]",1.419,-0.107,0.915,4,1.200,304874544.039,0.212,0.000,-0.076,0,0,fp
vot,0.204,,,,,4,1.200,304874544.039,0.212,0.167,0.038,0,0,fn
tt,-0.223,"[-0.291, -0.154]",0.069,-6.490,0.000,5,0.800,494644650.320,0.187,-1.000,0.777,0,0,fn
c,-1.181,"[-1.722, -0.639]",0.541,-4.353,0.000,5,0.800,494644650.320,0.187,-6.000,4.819,0,0,fn
s,-0.509,"[-0.746, -0.272]",0.237,-4.282,0.000,5,0.800,494644650.320,0.187,-3.000,2.491,0,0,fn
k0,-0.035,"[-0.431, 0.362]",0.397,-0.174,0.862,5,0.800,494644650.320,0.187,0.000,-0.035,0,0,fp
k1,0.433,"[0.109, 0.757]",0.324,2.665,0.010,5,0.800,494644650.320,0.187,0.000,0.433,0,1,fp
k2,-0.340,"[-0.68, -0.0]",0.340,-1.999,0.050,5,0.800,494644650.320,0.187,0.000,-0.340,0,1,fp
k3,-0.421,"[-0.737, -0.104]",0.316,-2.655,0.010,5,0.800,494644650.320,0.187,0.000,-0.421,0,1,fp
k4,0.517,"[0.216, 0.819]",0.302,3.425,0.001,5,0.800,494644650.320,0.187,0.000,0.517,0,1,fp
k5,0.401,"[0.066, 0.737]",0.336,2.387,0.020,5,0.800,494644650.320,0.187,0.000,0.401,0,1,fp
vot,0.189,,,,,5,0.800,494644650.320,0.187,0.167,0.022,0,0,fn
tt,-0.672,"[-0.993, -0.352]",0.320,-4.187,0.000,5,0.900,252694677.629,0.144,-1.000,0.328,0,0,fn
c,-4.554,"[-6.905, -2.202]",2.351,-3.865,0.000,5,0.900,252694677.629,0.144,-6.000,1.446,0,0,fn
s,-2.074,"[-3.109, -1.039]",1.035,-4.001,0.000,5,0.900,252694677.629,0.144,-3.000,0.926,0,0,fn
k0,0.039,"[-0.786, 0.863]",0.825,0.094,0.926,5,0.900,252694677.629,0.144,0.000,0.039,0,0,fp
k1,0.131,"[-0.42, 0.682]",0.551,0.475,0.637,5,0.900,252694677.629,0.144,0.000,0.131,0,0,fp
k2,-0.073,"[-0.665, 0.518]",0.591,-0.247,0.806,5,0.900,252694677.629,0.144,0.000,-0.073,0,0,fp
