link_type,alpha,beta,tf,k,observed,counts,capacity [veh],tt_ff [min],speed_ff[mi/hr],inrix_id,pems_ids,id,rhoj,lane,ff_speed,length,inrix_id.1,speed_avg,speed_ref_avg,speed_hist_avg,tt_avg,speed_max,speed_sd,speed_cv,speed_hist_sd,speed_ref_sd,tt_sd,tt_var,tt_cv,road_closures,median_inc,median_age,incidents,bus_stops,intersections,tf_inrix,free_flow_speed,tt_sd_adj,speed_sd_length,speed_reliability,tt_avg_adj,median_inc_length,no_incidents,incident,no_bus_stops,bus_stop,no_intersections,intersection,low_inc,high_inc,reliable_tt,unreliable_tt,reliable_speed,unreliable_speed
LWRLK,0.150,4.000,0.216,1800.000,0,,1800.000,0.216,40,1626728177.000,[],15,200.000,3,40,0.144,1626728177.000,0.323,0.367,0.283,0.308,27.962,0.177,0.215,0.081,0.000,0.079,0.005,0.215,0.000,0.319,0.439,0.000,0.000,0.222,0.309,0.466,0.095,0.048,0.641,0.006,0.035,1,0,1,0,0,1,0,1,0,1,0,1
LWRLK,0.150,4.000,0.132,1800.000,0,,1800.000,0.132,40,1626667843.000,[],406,200.000,3,40,0.088,1626667843.000,0.232,0.294,0.215,0.245,22.369,0.163,0.261,0.139,0.000,0.070,0.005,0.261,0.000,0.319,0.439,0.050,0.000,0.222,0.235,0.374,0.087,0.027,0.608,0.005,0.021,0,1,1,0,0,1,0,1,0,1,1,0
LWRLK,0.150,4.000,0.256,1800.000,0,,1800.000,0.256,35,1626747729.000,[],1327,200.000,3,35,0.149,1626747729.000,0.350,0.294,0.255,0.388,34.175,0.507,0.684,0.819,0.000,0.344,0.118,0.684,0.000,0.319,0.439,0.000,0.000,0.111,0.262,0.569,0.255,0.143,0.721,0.006,0.036,1,0,1,0,0,1,0,1,0,1,0,1
LWRLK,0.150,4.000,0.209,1800.000,0,,1800.000,0.209,40,1626698650.000,[],16,200.000,4,40,0.140,1626698650.000,0.232,0.294,0.215,0.451,22.369,0.163,0.261,0.139,0.000,0.129,0.016,0.261,0.000,0.319,0.439,0.025,0.000,0.111,0.375,0.373,0.140,0.043,0.608,0.009,0.034,0,1,1,0,0,1,0,1,0,1,1,0
LWRLK,0.150,4.000,0.223,1800.000,0,,1800.000,0.223,40,441679111.000,[],517,200.000,4,40,0.149,441679111.000,0.399,0.440,0.358,0.192,34.175,0.184,0.176,0.187,0.000,0.041,0.003,0.176,0.000,0.580,0.518,0.000,0.000,0.000,0.261,0.571,0.065,0.052,0.677,0.005,0.066,1,0,1,0,1,0,0,1,0,1,0,1
LWRLK,0.150,4.000,0.178,1800.000,0,,1800.000,0.178,40,441461376.000,[],1913,200.000,4,40,0.119,441461376.000,0.354,0.394,0.337,0.232,30.447,0.229,0.234,0.294,0.000,0.069,0.005,0.234,0.000,0.580,0.518,0.000,0.250,0.000,0.234,0.509,0.078,0.052,0.710,0.005,0.052,1,0,0,1,1,0,0,1,0,1,0,1
LWRLK,0.150,4.000,0.129,1800.000,0,,1800.000,0.129,40,441679102.000,[],1993,200.000,4,40,0.086,441679102.000,0.360,0.394,0.330,0.415,31.069,0.187,0.195,0.238,0.000,0.092,0.008,0.195,0.000,0.580,0.518,0.000,0.000,0.000,0.166,0.518,0.046,0.030,0.695,0.003,0.038,1,0,1,0,1,0,0,1,0,1,0,1
LWRLK,0.150,4.000,0.117,1800.000,1,2333.000,1800.000,0.117,55,,"[601215, 602215]",17,180.000,1,55,0.107,,0.385,0.000,0.000,0.000,0.000,0.191,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.364,0.320,0.000,0.000,0.111,0.117,0.915,0.000,0.000,0.000,0.055,0.030,1,0,1,0,0,1,0,1,0,1,0,1
LWRLK,0.150,4.000,0.806,2400.000,1,2302.600,2400.000,0.806,65,1626706657.000,[602215],617,200.000,3,65,0.873,1626706657.000,0.450,0.468,0.432,0.300,44.739,0.419,0.334,0.554,0.000,0.124,0.016,0.334,0.000,0.364,0.320,0.375,0.000,0.222,1.171,0.746,0.558,0.693,0.767,0.028,0.241,0,1,1,0,0,1,0,1,0,1,0,1
LWRLK,0.150,4.000,0.121,1800.000,0,,1800.000,0.121,45,441458238.000,[],18,200.000,3,45,0.091,441458238.000,0.377,0.459,0.363,0.299,30.447,0.161,0.153,0.132,0.000,0.062,0.003,0.153,0.000,0.575,0.521,0.000,0.000,0.000,0.178,0.511,0.039,0.028,0.658,0.003,0.040,1,0,1,0,1,0,0,1,0,1,1,0
LWRLK,0.150,4.000,0.344,2400.000,1,755.000,2400.000,0.344,65,1626704618.000,[602345],19,200.000,4,65,0.373,1626704618.000,0.957,0.945,0.918,0.309,70.836,0.130,0.048,0.322,0.000,0.021,0.000,0.048,0.000,0.311,0.373,0.525,0.000,0.000,0.316,1.180,0.022,0.092,0.808,0.006,0.088,0,1,1,0,1,0,0,1,0,1,1,0
LWRLK,0.150,4.000,0.043,1800.000,0,,1800.000,0.043,35,,[],20,180.000,1,35,0.025,,0.385,0.000,0.000,0.000,0.000,0.191,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.575,0.521,0.000,0.000,0.111,0.043,0.581,0.000,0.000,0.000,0.020,0.011,1,0,1,0,0,1,0,1,0,1,0,1
LWRLK,0.150,4.000,0.119,1800.000,0,,1800.000,0.119,45,429471468.000,[],254,200.000,3,45,0.089,429471468.000,0.306,0.431,0.368,0.101,27.962,0.187,0.176,0.129,0.000,0.031,0.000,0.176,0.000,0.575,0.521,0.000,0.000,0.222,0.191,0.466,0.048,0.032,0.710,0.004,0.039,1,0,1,0,0,1,0,1,0,1,0,1
LWRLK,0.150,4.000,0.136,1800.000,0,,1800.000,0.136,45,1626735696.000,[],165,200.000,2,45,0.102,1626735696.000,0.377,0.459,0.363,0.110,30.447,0.161,0.153,0.132,0.000,0.025,0.000,0.153,0.000,0.575,0.521,0.000,0.000,0.111,0.200,0.510,0.044,0.031,0.658,0.004,0.045,1,0,1,0,0,1,0,1,0,1,1,0
LWRLK,0.150,4.000,0.439,1800.000,0,,1800.000,0.439,25,1626615745.000,[],234,200.000,2,25,0.183,1626615745.000,0.604,0.633,0.614,0.149,53.438,0.339,0.190,0.199,0.000,0.038,0.003,0.190,0.000,0.575,0.521,0.025,0.000,0.111,0.205,0.893,0.056,0.117,0.806,0.004,0.080,0,1,1,0,0,1,0,1,0,1,0,1
LWRLK,0.150,4.000,0.105,1800.000,0,,1800.000,0.105,35,170451683.000,[],21,180.000,2,35,0.061,170451683.000,0.084,0.119,0.074,0.239,18.020,0.140,0.647,0.056,0.000,0.111,0.013,0.647,0.000,0.575,0.521,0.000,0.000,0.111,0.203,0.300,0.187,0.016,0.519,0.010,0.027,1,0,1,0,0,1,0,1,0,1,1,0
LWRLK,0.150,4.000,0.146,1800.000,0,,1800.000,0.146,45,441679176.000,[],1632,200.000,5,45,0.109,441679176.000,0.292,0.385,0.280,0.294,23.612,0.113,0.139,0.161,0.000,0.051,0.003,0.139,0.000,0.575,0.521,0.000,0.000,0.111,0.278,0.392,0.055,0.023,0.605,0.005,0.048,1,0,1,0,0,1,0,1,0,1,1,0
LWRLK,0.150,4.000,0.118,1800.000,0,,1800.000,0.118,45,441679174.000,[],1695,200.000,4,45,0.088,441679174.000,0.244,0.321,0.233,0.234,23.612,0.209,0.309,0.269,0.000,0.085,0.008,0.309,0.000,0.575,0.521,0.000,0.000,0.111,0.224,0.393,0.099,0.035,0.604,0.005,0.038,1,0,1,0,0,1,0,1,0,1,0,1
PQULK,0.150,4.000,0.000,4990000128.000,0,,inf,0.000,99999,,[],26,99999.000,1,99999,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0
LWRLK,0.150,4.000,0.059,1800.000,0,,1800.000,0.059,55,,[],22,180.000,1,55,0.054,,0.385,0.000,0.000,0.000,0.000,0.191,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.575,0.521,0.000,0.000,0.000,0.059,0.915,0.000,0.000,0.000,0.028,0.024,1,0,1,0,1,0,0,1,0,1,0,1
LWRLK,0.150,4.000,0.396,2400.000,0,,2400.000,0.396,65,1626615940.000,[],356,200.000,2,65,0.429,1626615940.000,0.925,0.963,0.931,0.141,70.836,0.227,0.083,0.306,0.000,0.021,0.000,0.083,0.000,0.575,0.521,0.050,0.000,0.222,0.363,1.182,0.043,0.184,0.804,0.007,0.187,0,1,1,0,0,1,0,1,0,1,0,1
LWRLK,0.150,4.000,0.209,2000.000,0,,2000.000,0.209,25,1626615706.000,[],23,180.000,1,25,0.087,1626615706.000,0.306,0.431,0.368,0.203,27.962,0.187,0.176,0.129,0.000,0.054,0.003,0.176,0.000,0.575,0.521,0.000,0.000,0.000,0.187,0.465,0.047,0.031,0.710,0.004,0.038,1,0,1,0,1,0,0,1,0,1,0,1
LWRLK,0.150,4.000,0.325,2400.000,0,,2400.000,0.325,65,1626615688.000,[],125,200.000,2,65,0.352,1626615688.000,0.986,0.991,0.988,0.182,72.700,0.134,0.046,0.260,0.000,0.016,0.000,0.046,0.000,0.575,0.521,0.000,0.000,0.000,0.291,1.210,0.019,0.089,0.829,0.005,0.154,1,0,1,0,1,0,0,1,0,1,1,0
LWRLK,0.150,4.000,0.098,1800.000,0,,1800.000,0.098,45,429471470.000,[],150,200.000,3,45,0.074,429471470.000,0.251,0.394,0.288,0.136,24.233,0.174,0.208,0.359,0.000,0.039,0.003,0.208,0.000,0.810,0.471,0.000,0.000,0.222,0.182,0.407,0.054,0.024,0.607,0.004,0.046,1,0,1,0,0,1,0,1,0,1,0,1
LWRLK,0.150,4.000,0.178,1800.000,0,,1800.000,0.178,45,1626751626.000,[],146,200.000,3,45,0.134,1626751626.000,0.241,0.367,0.298,0.181,22.991,0.185,0.215,0.137,0.000,0.064,0.005,0.215,0.000,0.810,0.471,0.000,0.000,0.222,0.349,0.384,0.107,0.047,0.674,0.008,0.082,1,0,1,0,0,1,0,1,0,1,0,1
LWRLK,0.150,4.000,0.242,1800.000,0,,1800.000,0.242,35,1626615921.000,[],231,180.000,2,35,0.141,1626615921.000,0.468,0.486,0.451,0.215,40.389,0.219,0.167,0.110,0.000,0.044,0.003,0.167,0.000,0.810,0.471,0.000,0.000,0.111,0.209,0.675,0.050,0.058,0.770,0.004,0.087,1,0,1,0,0,1,0,1,0,1,0,1
LWRLK,0.150,4.000,2.113,2400.000,1,2566.000,2400.000,2.113,65,170326096.000,[602541],27,180.000,2,65,2.289,170326096.000,0.971,1.000,0.980,0.384,70.215,0.098,0.034,0.219,0.000,0.023,0.000,0.034,0.000,0.575,0.521,0.000,0.000,0.000,1.956,1.170,0.094,0.426,0.815,0.034,1.000,1,0,1,0,1,0,0,1,0,1,1,0
