link_key,speed_hist_avg,inrix_id,tt_sd,bus_stops,speed_ref_sd,intersections,median_age,speed_avg,tt_avg,road_closures,tt_sd_adj,tt_var,speed_sd,incidents,tt_cv,speed_ref_avg,median_inc,pems_ids,speed_hist_sd,speed_max,speed_cv
"(12, 77, '0')",64.001,1626749030.000,0.011,0,0.000,1,24.900,70.319,0.722,0.000,0,0.000,1.020,1,0.015,65.865,14.243,"[601529, 602259]",0.000,72.079,0.015
"(143, 579, '0')",0.000,,0.000,0,0.000,0,34.400,0.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,66.653,[601541],0.000,0.000,0.000
"(1217, 10, '0')",15.327,1626721540.000,0.145,0,0.000,1,28.700,20.091,1.177,0.000,0,0.021,2.518,0,0.123,24.855,39.191,[],1.003,25.476,0.125
"(561, 10, '0')",0.000,0.000,0.000,0,0.000,0,0.000,0.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000
"(1217, 1196, '0')",15.327,1626721540.000,0.145,0,0.000,1,28.700,20.091,1.177,0.000,0,0.021,2.518,0,0.123,24.855,39.191,[],1.003,25.476,0.125
"(14, 414, '0')",62.137,1626686499.000,0.010,0,0.000,4,25.900,67.781,0.413,0.000,0,0.000,1.042,2,0.024,62.758,27.250,[],0.000,69.594,0.015
"(577, 580, '0')",0.000,,0.000,0,0.000,0,31.779,0.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,37.414,[],0.000,0.000,0.000
"(15, 14, '0')",62.137,1626686499.000,0.010,0,0.000,0,25.900,67.781,0.413,0.000,0,0.000,1.042,6,0.024,62.758,27.250,[],0.000,69.594,0.015
"(579, 647, '0')",0.000,,0.000,0,0.000,1,31.779,0.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,37.414,[],0.000,0.000,0.000
"(16, 221, '0')",20.505,449892027.000,0.165,1,0.000,1,40.400,18.641,0.849,0.000,0,0.027,3.681,0,0.194,29.204,64.773,[],0.795,23.612,0.197
"(873, 221, '0')",18.382,441679086.000,0.078,0,0.000,2,40.400,11.185,0.319,0.000,0,0.006,3.267,0,0.245,22.991,64.773,[],1.578,19.884,0.292
"(904, 221, '0')",19.780,441679085.000,0.157,1,0.000,1,40.400,15.534,0.481,0.000,0,0.025,5.034,0,0.326,24.233,64.773,[],2.352,24.855,0.324
"(1308, 221, '0')",19.884,449892015.000,0.086,0,0.000,1,40.400,24.544,0.623,0.000,0,0.007,3.429,0,0.138,22.991,64.773,[],1.124,31.069,0.140
"(16, 895, '0')",19.884,449892015.000,0.086,2,0.000,2,40.400,24.544,0.623,0.000,0,0.007,3.429,0,0.138,22.991,64.773,[],1.124,31.069,0.140
"(111, 895, '0')",0.000,0.000,0.000,0,0.000,0,0.000,0.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000
"(17, 1250, '0')",19.211,441679107.000,0.087,1,0.000,0,34.200,19.987,0.299,0.000,0,0.008,6.018,0,0.292,26.098,67.240,[],0.619,27.962,0.301
"(1252, 1250, '0')",17.813,441679109.000,0.060,0,0.000,0,34.200,22.007,0.312,0.000,0,0.004,4.453,0,0.191,26.098,67.240,[],2.024,31.069,0.202
"(570, 1250, '0')",0.000,0.000,0.000,0,0.000,0,0.000,0.000,0.000,0.000,0,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000
"(17, 6, '0')",25.735,1626728177.000,0.277,0,0.000,1,29.000,10.770,0.978,0.000,0,0.077,2.919,1,0.283,24.233,36.974,[],1.600,16.777,0.271
"(539, 6, '0')",14.809,1626698650.000,0.144,0,0.000,2,29.000,13.567,0.775,0.000,0,0.021,2.751,0,0.186,19.263,36.974,[],0.831,18.641,0.203
"(17, 1275, '0')",18.796,441679103.000,0.128,0,0.000,0,34.200,25.890,0.586,0.000,0,0.016,4.538,0,0.218,24.233,67.240,[],2.037,32.311,0.175
"(17, 213, '0')",14.809,441679106.000,0.067,0,0.000,0,34.200,23.509,0.272,0.000,0,0.005,4.588,0,0.248,19.263,67.240,[],0.831,28.583,0.195
"(847, 213, '0')",13.256,1626687882.000,0.091,0,0.000,5,34.200,30.758,0.726,0.000,0,0.008,3.579,0,0.125,29.826,67.240,[],1.037,36.040,0.116
"(712, 728, '0')",38.318,1626631223.000,0.009,0,0.000,0,34.400,39.820,0.327,0.000,0,0.000,1.075,0,0.027,41.010,66.653,[],1.003,41.010,0.027
"(712, 706, '0')",24.751,400072808.000,0.221,0,0.000,1,34.400,12.997,0.550,0.000,0,0.049,5.586,0,0.403,31.069,66.653,[],2.440,24.855,0.430
"(703, 706, '0')",21.230,441679177.000,0.119,0,0.000,1,34.400,23.509,0.622,0.000,0,0.014,4.549,0,0.191,27.962,66.653,[],1.813,31.069,0.194
