link_key,observed,counts,capacity [veh],tt_ff [min],speed_ff[mi/hr],inrix_id,pems_id,link_type,id,rhoj,lane,ff_speed,length,alpha,beta,tf,k,pems_ids,inrix_id,speed_avg,speed_ref_avg,speed_hist_avg,tt_avg,speed_max,speed_sd,speed_cv,speed_hist_sd,speed_ref_sd,tt_sd,tt_var,tt_cv,tt_sd_adj,road_closures,median_inc,median_age,incidents,bus_stops,intersections,tf_inrix
"(253, 250, '0')",1,2302.600,2400.000,0.806,65,1626706657.000,[601215],LWRLK,617,200.000,3,65,0.873,0.150,4.000,0.806,2400.000,"[602215, 601215, 602215, 601215, 602215]",1626706657.000,27.910,31.690,25.010,0.479,36.661,5.107,0.183,1.159,0.000,0.082,0.007,0.172,0,0.000,42.205,21.100,15.000,0.000,2.000,1.429
"(7, 559, '0')",0,,1800.000,0.121,45,441458238.000,[],LWRLK,18,200.000,3,45,0.091,0.150,4.000,0.121,1800.000,[],441458238.000,28.738,31.069,25.580,0.388,32.933,2.105,0.073,1.020,0.000,0.032,0.001,0.081,0,0.000,66.653,34.400,0.000,0.000,0.000,0.165
"(8, 640, '0')",1,755.000,2400.000,0.344,65,1626704618.000,[602345],LWRLK,19,200.000,4,65,0.373,0.150,4.000,0.344,2400.000,"[602345, 602345, 602345]",1626704618.000,65.140,64.001,61.671,0.453,67.108,1.832,0.028,1.064,0.000,0.015,0.000,0.033,0,0.000,36.042,24.600,21.000,0.000,0.000,0.333
"(105, 82, '0')",0,,1800.000,0.043,35,,[],LWRLK,20,180.000,1,35,0.025,0.150,4.000,0.043,1800.000,[],,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,66.653,34.400,0.000,0.000,1.000,0.043
"(105, 23, '0')",0,,1800.000,0.119,45,429471468.000,[],LWRLK,254,200.000,3,45,0.089,0.150,4.000,0.119,1800.000,[],429471468.000,20.402,29.204,25.942,0.152,26.719,2.789,0.137,0.843,0.000,0.020,0.000,0.134,0,0.000,66.653,34.400,0.000,0.000,2.000,0.200
"(62, 23, '0')",0,,1800.000,0.136,45,1626735696.000,[],LWRLK,165,200.000,2,45,0.102,0.150,4.000,0.136,1800.000,[],1626735696.000,28.738,31.069,25.580,0.141,32.933,2.105,0.073,1.020,0.000,0.012,0.000,0.083,0,0.000,66.653,34.400,0.000,0.000,1.000,0.185
"(95, 23, '0')",0,,1800.000,0.439,25,1626615745.000,[],LWRLK,234,200.000,2,25,0.183,0.150,4.000,0.439,1800.000,[],1626615745.000,40.078,42.875,42.150,0.225,45.981,4.485,0.112,1.980,0.000,0.024,0.001,0.108,0,0.000,66.653,34.400,1.000,0.000,1.000,0.239
"(9, 708, '0')",0,,1800.000,0.105,35,170451683.000,[],LWRLK,21,180.000,2,35,0.061,0.150,4.000,0.105,1800.000,[],170451683.000,6.007,8.078,4.971,0.330,8.078,1.530,0.255,0.000,0.000,0.074,0.005,0.224,0,0.000,66.653,34.400,0.000,0.000,1.000,0.453
"(707, 708, '0')",0,,1800.000,0.146,45,441679176.000,[],LWRLK,1632,200.000,5,45,0.109,0.150,4.000,0.146,1800.000,[],441679176.000,19.884,26.098,18.123,0.426,21.748,1.325,0.067,0.359,0.000,0.030,0.001,0.071,0,0.000,66.653,34.400,0.000,0.000,1.000,0.301
"(737, 708, '0')",0,,1800.000,0.118,45,441679174.000,[],LWRLK,1695,200.000,4,45,0.088,0.150,4.000,0.118,1800.000,[],441679174.000,16.570,21.748,13.877,0.337,20.505,2.158,0.130,1.071,0.000,0.041,0.002,0.121,0,0.000,66.653,34.400,0.000,0.000,1.000,0.258
"(9, 1230, '0')",0,,inf,0.000,99999,,[],PQULK,26,99999.000,1,99999,0.000,0.150,4.000,0.000,4990000128.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"(82, 237, '0')",0,,1800.000,0.059,55,,[],LWRLK,22,180.000,1,55,0.054,0.150,4.000,0.059,1800.000,[],,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,66.653,34.400,0.000,0.000,0.000,0.059
"(144, 237, '0')",0,,2400.000,0.396,65,1626615940.000,[],LWRLK,356,200.000,2,65,0.429,0.150,4.000,0.396,2400.000,[],1626615940.000,64.674,65.244,63.846,0.199,70.836,4.100,0.063,1.064,0.000,0.015,0.000,0.076,0,0.000,66.653,34.400,2.000,0.000,2.000,0.363
"(62, 144, '0')",0,,2000.000,0.209,25,1626615706.000,[],LWRLK,23,180.000,1,25,0.087,0.150,4.000,0.209,2000.000,[],1626615706.000,20.402,29.204,25.942,0.301,26.719,2.789,0.137,0.843,0.000,0.035,0.001,0.116,0,0.000,66.653,34.400,0.000,0.000,0.000,0.195
"(48, 144, '0')",0,,2400.000,0.325,65,1626615688.000,[],LWRLK,125,200.000,2,65,0.352,0.150,4.000,0.325,2400.000,[],1626615688.000,26.307,27.609,67.108,0.263,71.458,1.744,0.026,0.000,0.000,0.010,0.000,0.037,0,0.000,66.653,34.400,0.000,0.000,0.000,0.296
"(57, 55, '0')",0,,1800.000,0.098,45,429471470.000,[],LWRLK,150,200.000,3,45,0.074,0.150,4.000,0.098,1800.000,[],429471470.000,15.741,26.719,20.091,0.215,19.884,1.917,0.122,2.627,0.000,0.022,0.000,0.100,0,0.000,36.226,31.100,0.000,0.000,2.000,0.222
"(56, 55, '0')",0,,1800.000,0.178,45,1626751626.000,[],LWRLK,146,200.000,3,45,0.134,0.150,4.000,0.178,1800.000,[],1626751626.000,17.657,24.855,20.764,0.241,21.127,2.094,0.119,0.815,0.000,0.028,0.001,0.117,0,0.000,36.226,31.100,0.000,0.000,2.000,0.380
"(93, 55, '0')",0,,1800.000,0.242,35,1626615921.000,[],LWRLK,231,180.000,2,35,0.141,0.150,4.000,0.242,1800.000,[],1626615921.000,31.742,32.933,31.327,0.315,36.661,3.129,0.099,0.320,0.000,0.033,0.001,0.104,0,0.000,36.226,31.100,0.000,0.000,1.000,0.231
"(580, 142, '0')",1,2566.000,2400.000,2.113,65,170326096.000,[602541],LWRLK,27,180.000,2,65,2.289,0.150,4.000,2.113,2400.000,"[602541, 602541, 602541]",170326096.000,67.574,27.609,66.694,0.548,70.215,1.159,0.017,0.892,0.000,0.013,0.000,0.024,0,0.000,66.653,34.400,0.000,0.000,0.000,1.956
"(12, 77, '0')",1,0.000,2400.000,0.281,65,1626749030.000,[601529],LWRLK,28,200.000,3,65,0.304,0.150,4.000,0.281,2400.000,"[601529, 601529, 602259, 601529, 602259]",1626749030.000,26.307,27.609,66.694,0.737,70.836,1.020,0.015,0.612,0.000,0.012,0.000,0.017,0,0.000,14.243,24.900,6.000,0.000,1.000,0.257
"(143, 579, '0')",1,2097.000,2400.000,2.113,65,,[601541],LWRLK,29,180.000,2,65,2.289,0.150,4.000,2.113,2400.000,"[601541, 601541, 601541]",,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,66.653,34.400,0.000,0.000,0.000,2.113
"(1217, 10, '0')",0,,1800.000,0.146,25,1626721540.000,[],LWRLK,30,180.000,1,25,0.061,0.150,4.000,0.146,1800.000,[],1626721540.000,18.900,27.962,20.143,1.242,21.748,1.227,0.065,0.771,0.000,0.078,0.006,0.063,0,0.000,39.191,28.700,0.000,0.000,1.000,0.168
