link_key,observed,counts,capacity [veh],tt_ff [min],speed_ff[mi/hr],inrix_id,pems_ids,link_type,id,rhoj,lane,ff_speed,length,alpha,beta,tf,k,inrix_id,speed_avg,speed_ref_avg,speed_hist_avg,tt_avg,speed_max,speed_sd,speed_cv,speed_hist_sd,speed_ref_sd,tt_sd,tt_var,tt_cv,road_closures,median_inc,median_age,incidents,bus_stops,intersections,tf_inrix
"(9, 1230, '0')",0,,inf,0.000,99999,,[],PQULK,26,99999.000,1,99999,0.000,0.150,4.000,0.000,4990000128.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0.000
"(82, 237, '0')",0,,1800.000,0.059,55,,[],LWRLK,22,180.000,1,55,0.054,0.150,4.000,0.059,1800.000,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,66.653,34.400,0,0,0,0.059
"(144, 237, '0')",0,,2400.000,0.396,65,1626615940,[],LWRLK,356,200.000,2,65,0.429,0.150,4.000,0.396,2400.000,1626615940.000,68.749,64.271,63.150,0.186,75.807,2.987,0.047,1.161,0.515,0.010,0.000,0.047,0.000,66.653,34.400,4,0,2,0.340
"(62, 144, '0')",0,,2000.000,0.209,25,1626615706,[],LWRLK,23,180.000,1,25,0.087,0.150,4.000,0.209,2000.000,1626615706.000,25.740,26.989,23.943,0.236,32.311,2.406,0.100,1.122,0.515,0.023,0.001,0.100,0.000,66.653,34.400,0,0,0,0.162
"(48, 144, '0')",0,,2400.000,0.325,65,1626615688,[],LWRLK,125,200.000,2,65,0.352,0.150,4.000,0.325,2400.000,1626615688.000,71.255,66.136,65.919,0.249,78.914,2.166,0.033,1.028,0.515,0.011,0.000,0.033,0.000,66.653,34.400,0,0,0,0.268
"(57, 55, '0')",0,,1800.000,0.098,45,429471470,[],LWRLK,150,200.000,3,45,0.074,0.150,4.000,0.098,1800.000,429471470.000,15.656,22.721,17.398,0.241,35.418,5.812,0.334,1.598,0.515,0.084,0.007,0.334,0.000,93.828,31.100,0,0,2,0.125
"(56, 55, '0')",0,,1800.000,0.178,45,1626751626,[],LWRLK,146,200.000,3,45,0.134,0.150,4.000,0.178,1800.000,1626751626.000,13.819,24.233,18.141,0.327,27.340,4.020,0.222,1.434,0.000,0.086,0.007,0.222,0.000,93.828,31.100,0,0,2,0.293
"(93, 55, '0')",0,,1800.000,0.242,35,1626615921,[],LWRLK,231,180.000,2,35,0.141,0.150,4.000,0.242,1800.000,1626615921.000,29.866,31.960,30.920,0.332,34.175,2.047,0.066,1.103,0.515,0.024,0.001,0.066,0.000,93.828,31.100,0,0,1,0.248
"(580, 142, '0')",1,2931.000,2400.000,2.113,65,170326096,[602541],LWRLK,27,180.000,2,65,2.289,0.150,4.000,2.113,2400.000,170326096.000,69.979,66.622,65.892,0.529,73.943,1.816,0.028,1.923,0.258,0.014,0.000,0.028,0.000,66.653,34.400,0,0,0,1.857
"(12, 77, '0')",1,111.000,2400.000,0.281,65,1626749030,[601529],LWRLK,28,200.000,3,65,0.304,0.150,4.000,0.281,2400.000,1626749030.000,70.796,66.838,65.960,0.717,75.186,2.070,0.031,2.328,0.515,0.022,0.000,0.031,0.000,14.243,24.900,1,0,1,0.243
